id,username,email,password,first_name,last_name,is_admin,ssn,active,confirmed,phone,dob,street_address,city,state,zip
1,anxiousLemur1,karenc6303@hayes.com,$2a$10$BSZpxOIrX2rhZ7FAfdpAuOkBw78/awDVMomyiIWOa8Ikr/YTNxeG.,Karen,Contreras,0,23735328,1,1,3822950963,1964-02-28,"205 Roberts Mission
","West Kathleen",NY,43010
2,annoyedPretzels5,jjoseph8391@davis-buck.info,$2a$10$.bWDBnbFlApYwAr/2m35ye4/PG/qfbShdg.8l4aLjG3c3HvRReCQS,Joseph,Jones,0,650295710,0,1,7032229217,1928-08-18,"8748 Haynes Motorway
","Lake Andrea",ME,41622
3,insecureCod5,s.campbell8614@gmail.com,$2a$10$9tctJYvP5KdhcFykYGJJweODiGCHy2hQKNdOXJogUTQ0vR.iM442.,Sonia,Campbell,0,581770180,1,1,4692799856,1928-09-30,"054 Shepard Trail
","North James",CA,58651
4,ashamedWigeon4,c.joanna8101@murray.com,$2a$10$Qb3A96Nw94bf7RSBstHbJOTuVrlNiYOYyREGEU26V6UHme.KwQqWq,Joanna,Carroll,0,339968649,0,1,921006991,1946-07-19,"846 William Dale
","South Davidton",MA,29036
5,dejectedToucan0,tracey.alvarez5852@alvarez.net,$2a$10$7Rfxl8wMV6txdGnoAZ3fueyOB.8n0sf367jsQG/epqdUfVT4Gx3mG,Tracey,Alvarez,0,892817910,1,1,439341976,1978-11-01,"2350 Lori Extensions
",Yolandaside,TX,97324
6,relievedBuzzard4,ljason686@cox.info,$2a$10$W3Ho.cTkRXLHLd/cREVSjev7vS77TQ6UWurKdso0ZtCOmI8UC0Zl6,Jason,Lewis,0,433201454,0,1,8649349348,1925-01-03,"5920 Monica Islands
",Nicholasview,NE,62354
7,zestyTuna6,christinab2583@hotmail.com,$2a$10$mPbWftBDVI.hN7j0AzYXt.pTSvjsL/QnARmO9vaOiRxLDuhMw54lq,Christina,Bryant,0,614981680,1,1,2324757227,1999-01-27,"2216 Knight Groves
","West Keith",WV,78210
8,scornfulChile0,andrews5511@hotmail.com,$2a$10$O.aYdpGlF37oV8FHQsh0Y.jy79K6iJUZ1EVKJDwj4dIo2NIMH20.q,Andrew,Schaefer,0,655761389,1,1,1804328465,1964-11-14,"73440 Medina Forks
",Ronaldchester,IL,78772
9,chicTacos1,n.sanchez7030@gmail.com,$2a$10$Hg5GoeSddRoDS9c8ZkGv0uRhOuzckMjgCQtg5OoE/GNNv2yefSr.2,Natalie,Sanchez,1,826793984,1,1,6796956400,2003-07-21,"821 Jessica Wells
",Carlaburgh,TX,45308
10,cheerfulWidgeon2,scottgolden3290@gutierrez.com,$2a$10$fX8I3nbVGsapaFJUXQQyWOcqRDCNut215FZvnhAbYC/HJ1a3zozRy,Scott,Golden,0,887559867,1,1,3105576002,1947-12-02,"2860 Green Walk
",Zhangmouth,IL,94527
